CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_NETFILTER_XT_MATCH_TIME,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_U32,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_CLASSIFY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_IDLETIMER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_MARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_NFLOG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_NFQUEUE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_TCPMSS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETWORK_FILESYSTEMS,COMMON,linger.lee,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_NEW_LEDS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_EVENTS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_FTP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_IPV4,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_IPV6,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_PPTP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_SIP,COMMON,kang.ouyang,android recommend not enable. enable this may result in sip packet more than 1538 test fail,X,X,X,X,X,X,X,X,X,X,X
CONFIG_NF_CONNTRACK_TFTP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CT_NETLINK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CT_PROTO_UDPLITE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NFC,COMMON,thomas-ch.chen,we use CONFIG_MTK_NFC,X,X,X,X,X,X,X,X,X,X,X
CONFIG_NFC_MT6605,PROJECT,thomas-ch.chen,,X,y,X,X,,y,O,y,O,O,
CONFIG_NL80211_TESTMODE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NLS_ASCII,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NLS_CODEPAGE_437,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NLS_CODEPAGE_950,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NLS_ISO8859_1,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NLS_UTF8,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NO_HZ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NOP_USB_XCEIV,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NR_CPUS,PLATFORM,scott.shu,,8,8,8,8,8,8,8,8,8,10,8
CONFIG_ONEKEY_REBOOT_NORMAL_MODE,PROJECT,Elvin.Lin,,O,X,X,X,,X,X,X,O,X,
CONFIG_ONEKEY_REBOOT_OTHER_MODE,PROJECT,Elvin.Lin,,O,X,X,X,,X,X,X,O,X,
CONFIG_OPROFILE,USER;PLATFORM,,,X(USER),X(USER),X(USER),X(USER),X(USER),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM)
CONFIG_PACKET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PANIC_ON_OOPS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PANIC_TIMEOUT,USER,,,1,1,1,1,1,1,1,1,1,1,1
CONFIG_PHYS_OFFSET,PLATFORM,miles.chen,,0x80000000,0x40000000,0x40000000,0x40000000,0x40000000,X,X,X,X,X,X
CONFIG_PKCS7_MESSAGE_PARSER,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_PKCS7_TEST_KEY,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_PM_AUTOSLEEP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PM_WAKELOCKS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_POWER_EXT,PROJECT,,,x,x,x,x,x,x,x,x,x,x,x
CONFIG_POWER_RESET,PLATFORM,,,y,y,y,y,X,X,X,X,X,X,X
CONFIG_POWER_SUPPLY,PLATFORM,,,y,y,y,y,X,X,X,X,X,X,X
CONFIG_PPP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_ASYNC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_BSDCOMP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_DEFLATE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_FILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_MPPE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_MULTILINK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPP_SYNC_TTY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPPOE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPPOLAC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PPPOPNS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PREEMPT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PREEMPT_MONITOR,USER;PROJECT,may.huang,,X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),O(USER;PROJECT),X(USER),X(USER),X(USER)
CONFIG_PRINTK_TIME,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PROFILING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PROJECT_PHY,PLATFORM,Vincent.Fan,,X,X,X,X,y,X,X,X,y,y,y
CONFIG_PROVE_LOCKING,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_PSTORE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PSTORE_CONSOLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PSTORE_CONSOLE_SIZE,PLATFORM,,,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x40000,0x10000,0x10000
CONFIG_PSTORE_MEM_ADDR,PLATFORM,,,0x83F10000,0x43F10000,0x43F10000,0x43F10000,0x44410000,0x43F10000,0x43F10000,0x43F10000,0x44410000,0x44410000,0x44410000
CONFIG_PSTORE_MEM_SIZE,COMMON,,,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000,0xe0000
CONFIG_PSTORE_PMSG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_PSTORE_PMSG_SIZE,COMMON,,,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000
CONFIG_PSTORE_RAM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_QFMT_V2,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_QUOTA,COMMON,Unused,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_RAWFS_FS,PROJECT,perry.hsu,,O,X,X,X,,X,X,X,X,X,
CONFIG_RCU_CPU_STALL_TIMEOUT,COMMON,,,60,60,60,60,60,60,60,60,60,60,60
CONFIG_RCU_FANOUT,PLATFORM,,,X,X,X,X,X,32,32,32,32,32,32
CONFIG_RCU_TRACE,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_REGULATOR,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_RESOURCE_COUNTERS,PROJECT,Chinwen.Chang,,X,y,y,y,O,y,y,y,y,y,O
CONFIG_RT7207_ADAPTER,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_RT_GROUP_SCHED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_RT_REGMAP,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_RTC_CLASS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_RTC_SYSTOHC,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_SCHED_HMP,PLATFORM,yt.chang,new config in this commit 1d29c1469e7c1f7b410b1694eff82ee1376d3933,X,X,X,X,y,X,X,X,y,y,y
CONFIG_SCHED_HMP_PLUS,PLATFORM,yt.chang,new config in this commit 1d29c1469e7c1f7b410b1694eff82ee1376d3933,X,X,X,X,y,X,X,X,y,y,y
CONFIG_SCHED_HMP_PRIO_FILTER,PLATFORM,yt.chang,new config in this commit 0e2cffeb01092130458a18da72a2d8f205d0e278,X,X,X,X,y,X,X,X,y,y,y
CONFIG_SCHED_MC,PLATFORM,yt.chang,,X,X,X,y,y,X,X,y,y,y,y
CONFIG_SCHEDSTATS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SCSI,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SCSI_LOWLEVEL,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_SCSI_SCAN_ASYNC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SDCARD_FS,PROJECT,perry.hsu,new config in this commit f8cb18613009e6d05030b8866b8347ee5fddbdf4,X,X,X,X,X,X,X,X,O,X,X
CONFIG_SECCOMP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SECURITY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SECURITY_NETWORK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SECURITY_SELINUX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SECURITY_SELINUX_BOOTPARAM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SERIO,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_SETEND_EMULATION,PLATFORM,,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_SLUB_DEBUG,USER;PROJECT,miles.chen,gmo project config,X,X,X,X,,X,X,X,N,X,
CONFIG_SLUB_DEBUG_ON,USER;PROJECT,miles.chen,gmo project config,X,X,X,X,,X,X,X,X,X,
CONFIG_SND,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_ARM,PLATFORM,,,N,N,X,X,X,X,X,X,X,X,X
CONFIG_SND_DEBUG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_DEBUG_VERBOSE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_DYNAMIC_MINORS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_HRTIMER,PROJECT,,,O,X,y,y,,y,y,y,y,y,
CONFIG_SND_MIXER_OSS,PROJECT,georgecy.lin,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_PCM_OSS,PROJECT,georgecy.lin,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_PCM_XRUN_DEBUG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_SEQ_DUMMY,PROJECT,,,O,y,y,y,,y,y,y,,y,
CONFIG_SND_SEQUENCER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_SEQUENCER_OSS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_SIMPLE_CARD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_SOC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_SOC_MAX98926 ,PROJECT,chipeng.chang,new config in this commit 4ba429dbf0ed272ef89e8754b562c2413c220c8a,X,X,X,X,,X,X,X,X,O,
CONFIG_SND_SOC_RT5509,PROJECT,shane.chien,,X,X,X,X,O,X,X,X,X,X,O
CONFIG_SND_SPI,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_SND_USB_AUDIO,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SND_VERBOSE_PRINTK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SOUND,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SOUND_PRIME,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SPI,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_STAGING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SW_SYNC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SW_SYNC_USER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SWITCH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SWP_EMULATION,PLATFORM,,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_SYN_COOKIES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SYNC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SYSCTL_SYSCALL,PLATFORM,,,X,X,X,X,y,y,y,y,y,y,y
CONFIG_TCPC_CLASS,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_TCPC_RT1711H,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_THERMAL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_THERMAL_DEFAULT_GOV_BACKWARD_COMPATIBLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TMPFS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TOI_CORE,PROJECT,Calvin.Hung,new config a372ef1d80a0d446e63feb21e84729437a7d1861,X,O,X,X,,O,X,X,X,X,
CONFIG_TOI_DEFAULT_WAIT,PROJECT,Calvin.Hung,new config a372ef1d80a0d446e63feb21e84729437a7d1861,X,O,X,X,,O,X,X,X,X,
CONFIG_TOI_FILE,PROJECT,Calvin.Hung,new config a372ef1d80a0d446e63feb21e84729437a7d1861,X,O,X,X,,O,X,X,X,X,
CONFIG_TOUCHSCREEN_MTK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TOUCHSCREEN_MTK_GT1151,PROJECT,zh.chen,,y,y,y,y,,y,y,y,y,O,
CONFIG_TOUCHSCREEN_MTK_SYNAPTICS_3320_50,PROJECT,joan.cho,new config in this commit 9505b005d1c3680df7f8749a00217a8101f44a1b,X,X,X,X,,X,X,X,X,O,
CONFIG_TRUSTONIC_TEE_SUPPORT,PROJECT,hungwen.chien,,O,O,O,X,,O,O,X,O,O,
CONFIG_TRUSTONIC_TRUSTED_UI,PROJECT,Hungwen.Chien,new config in this commit,X,X,X,X,,X,X,X,X,O,
CONFIG_TRUSTY,PROJECT,tristan.shieh,,O,O,O,O,,O,O,O,O,O,
CONFIG_TUN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TWOKEY_REBOOT_NORMAL_MODE,PROJECT,Elvin.Lin,,X,y,y,y,,y,y,y,O,y,
CONFIG_TWOKEY_REBOOT_OTHER_MODE,PROJECT,Elvin.Lin,,X,y,y,y,,y,y,y,O,y,
CONFIG_U3_PHY_AHB_SUPPORT,PLATFORM,Vincent.Fan,,X,X,X,X,y,X,X,X,y,y,y
CONFIG_U3_PHY_SMT_LOOP_BACK_SUPPORT,PROJECT,justin.hsieh,new config in this commit 019fc3e234f1822220e7e2d06756e3917ab08aef,X,X,X,X,,X,X,X,X,O,
CONFIG_UBIFS_FS,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_UBIFS_FS_ADVANCED_COMPR,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_UBIFS_FS_LZ4K,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_UHID,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_UID_CPUTIME,COMMON,May.Huang,new config db35d391a485746c9a12f4413a17961a94792323,y,y,y,y,y,y,y,y,y,y,y
CONFIG_UID_STAT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_UNIX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_ACM,COMMON,Arvin.Wang,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_USB_C_SWITCH_FUSB302,PROJECT,justin.hsieh,new config in this commit 7ddbca5bd9947e9e79a414898e8c6be366f24602,X,X,X,X,,X,X,X,X,O,
CONFIG_USB_C_SWITCH_SII70XX,PROJECT,justin.hsieh,new config in this commit 7ddbca5bd9947e9e79a414898e8c6be366f24602,X,X,X,X,,X,X,X,X,O,
CONFIG_USB_C_SWITCH_SII70XX_MHL_MODE,COMMON,chihhao.chen,new config in this commit 57c8a01463206721e18e958ecbc0692d08cf01eb,X,X,X,X,X,X,X,X,X,X,X
CONFIG_USB_G_ANDROID,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_GADGET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_GADGET_VBUS_DRAW,COMMON,Vincent.Fan,,500,500,500,500,500,500,500,500,500,500,500
CONFIG_USB_MTK_DUALMODE,PROJECT,Arvin.Wang,,X,X,X,X,,X,X,X,y,O,
CONFIG_USB_MTK_OTG_SWITCH,PROJECT,Arvin.Wang,,X,X,X,X,,X,X,X,O,X,
CONFIG_USB_MTK_HDRC,PLATFORM,Vincent.Fan,,X,X,X,X,N,X,X,X,N,N,N
CONFIG_USB_MTK_OTG,PROJECT,Arvin.Wang,,X,O,O,X,,O,X,X,X,X,
CONFIG_USB_MU3D_DRV,PLATFORM,vincent.fan,new config in this commit 9c994a5422e4766902530dd5802569f681162b20,X,X,X,X,y,X,X,X,y,y,y
CONFIG_USB_MU3D_ONLY_U2_MODE,PROJECT,Arvin.Wang,,X,X,X,X,X,X,X,O,X,X,
CONFIG_USB_POWER_DELIVERY,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_USB_PRINTER,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_USB_STORAGE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_ALAUDA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_CYPRESS_ATACB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_DATAFAB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_DEBUG,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_USB_STORAGE_FREECOM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_ISD200,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_JUMPSHOT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_KARMA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_ONETOUCH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_SDDR09,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_SDDR55,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_STORAGE_USBAT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_TRANCEVIBRATOR,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_USB_XHCI_HCD,PROJECT,Arvin.Wang,,X,X,X,X,,X,X,X,y,O,
CONFIG_USB_XHCI_MTK,PROJECT,Arvin.Wang,,X,X,X,X,,X,X,X,y,O,
CONFIG_USE_OF,PLATFORM,chia-hao.hsu,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_VFAT_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_VFP,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_VLAN_8021Q,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_VT,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_WATCHDOG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_X509_CERTIFICATE_PARSER,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_XFRM_MIGRATE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_XFRM_SUB_POLICY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_XFRM_USER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_YAFFS_DISABLE_TAGS_ECC,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_YAFFS_FS,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_ZISOFS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ZNDSWAP,PROJECT,Chinwen.Chang,gmo project config,O,X,O,X,,X,X,X,X,X,
CONFIG_ZONE_MOVABLE_CMA,PROJECT,Miles Chen,c21a19b6c6baa2f00aca06bca4d3bd30898bcbe9,X,X,X,X,,X,X,X,X,X,
CONFIG_ZRAM,COMMON,Chinwen.Chang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ZRAM_DEBUG,COMMON,Chinwen.Chang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ZRAM_LZ4_COMPRESS,PROJECT,Chinwen.Chang,,X,X,X,X,O,X,X,X,O,X,O
CONFIG_ZRAM_LZ4K_COMPRESS,PROJECT,Chinwen.Chang,,O,O,O,X,,X,X,X,O,X,
CONFIG_ZSM,PROJECT,Robbin.Chiu,new config 84a52cb60725192d8ae0c80b58c363c35484cfd4,O,O,O,X,,X,X,X,X,X,
CONFIG_ZSMALLOC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DMAUSER_PAGES,PROJECT,Miles.Chen, new config 246784055571763c932926925ddb585948ce81cd, X,X,X,X,O,X,X,X,X,X,O
CONFIG_MTK_PQ_COLOR_MODE,PROJECT,Yj.li, new config I1b7b0441f385f77703b529b6efe6b78d122676b1,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_PERIODIC_DATA_COLLECTION, PROJECT,,,X,X,X,X,y,X,X,X,X,X,y
CONFIG_ARCH_MT6755_TURBO,PROJECT,,,X,X,X,X,X,X,X,X,y,X,X
CONFIG_CUSTOM_KERNEL_CHARGEPUMP,PROJECT,mj.song,new config,X,X,X,y,X,X,X,X,X,X,X
CONFIG_LEDS_RT4832,PROJECT,mj.song,new config,X,X,X,y,X,X,X,X,X,X,X
CONFIG_TOUCHSCREEN_UNIFIED_DRIVER_4,PROJECT,mj.song,new config,X,X,X,y,X,X,X,X,X,X,X
CONFIG_TOUCHSCREEN_LGE_FT8707,PROJECT,mj.song,new config,X,X,X,y,X,X,X,X,X,X,X
CONFIG_MTK_SENSOR_BIO,PROJECT,hongxu.zhao,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_SENSOR_FUSION,PROJECT,hongxu.zhao,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_ORIENTATION,PROJECT,hongxu.zhao,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_ORIENTHUB,PROJECT,hongxu.zhao,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_RT9536_SUPPORT,PROJECT,joan.cho,new config,X,X,X,O,X,X,X,X,X,X,X
CONFIG_DM_VERITY_FEC,PROJECT,pangyen.chen,new config,y,O,O,O,y,O,O,O,y,y,y
CONFIG_MTK_LENS_DW9719TAF_SUPPORT,PROJECT,aden.lee,new config,X,X,X,O,X,X,X,X,X,X,X
CONFIG_SND_SOC_MAX98926,PROJECT,chipeng.chang,,X,X,X,X,X,X,X,X,X,O,X
CONFIG_MTK_NET_RFC7217,PROJECT,Zhuoliang.Zhang,,N,N,N,N,N,N,N,N,N,N,O
CONFIG_USELIB,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MODULE_UNLOAD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MODVERSIONS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_SECMARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CT_PROTO_DCCP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CT_PROTO_SCTP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_AMANDA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_H323,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_IRC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_NETBIOS_NS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NF_CONNTRACK_SANE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_CONNMARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_CONNSECMARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_TPROXY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_TRACE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_TARGET_SECMARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_COMMENT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_CONNLIMIT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_CONNMARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_CONNTRACK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_HASHLIMIT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_HELPER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_PKTTYPE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MATCH_AH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MATCH_ECN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
